N;Descricao dos alimentos;Energia (kcal);Proteina (g);Lipideos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Sodio (mg);Categoria
1;Arroz integral cozido;124.00;2.60;1.00;0.0;25.80;2.70;1.00;Cereais e derivados
2;Arroz integral cru;360.00;7.30;1.90;0.0;77.50;4.80;2.00;Cereais e derivados
3;Arroz tipo 1 cozido;128.00;2.50;0.20;0.0;28.10;1.60;1.00;Cereais e derivados
4;Arroz tipo 1 cru;358.00;7.20;0.30;0.0;78.80;1.60;1.00;Cereais e derivados
5;Arroz tipo 2 cozido;130.00;2.60;0.40;0.0;28.20;1.10;2.00;Cereais e derivados
6;Arroz tipo 2 cru;358.00;7.20;0.30;0.0;78.90;1.70;1.00;Cereais e derivados
7;Aveia flocos crua;394.00;13.90;8.50;0.0;66.60;9.10;5.00;Cereais e derivados
8;Macarrao trigo cru;371.00;10.00;1.30;0.0;77.90;2.90;7.00;Cereais e derivados
9;Milho fuba cru;353.00;7.20;1.90;0.0;78.90;4.70;0.0;Cereais e derivados
10;Pao trigo frances;300.00;8.00;3.10;0.0;58.60;2.30;648.00;Cereais e derivados
11;Alface americana crua;9.00;0.60;0.10;0.0;1.70;1.00;7.00;Verduras, hortalicas e derivados
12;Batata doce cozida;77.00;0.60;0.10;0.0;18.40;2.20;3.00;Verduras, hortalicas e derivados
13;Batata doce crua;118.00;1.30;0.10;0.0;28.20;2.60;9.00;Verduras, hortalicas e derivados
14;Batata inglesa cozida;52.00;1.20;0.0;0.0;11.90;1.30;2.00;Verduras, hortalicas e derivados
15;Batata inglesa crua;64.00;1.80;0.0;0.0;14.70;1.20;0.0;Verduras, hortalicas e derivados
16;Brocolis cozido;25.00;2.10;0.50;0.0;4.40;3.40;2.00;Verduras, hortalicas e derivados
17;Cara cozido;78.00;1.50;0.10;0.0;18.90;2.60;1.00;Verduras, hortalicas e derivados
18;Cebola crua;39.00;1.70;0.10;0.0;8.90;2.20;1.00;Verduras, hortalicas e derivados
19;Cebolinha crua;20.00;1.90;0.40;0.0;3.40;3.60;2.00;Verduras, hortalicas e derivados
20;Cenoura cozida;30.00;0.80;0.20;0.0;6.70;2.60;8.00;Verduras, hortalicas e derivados
21;Cenoura crua;34.00;1.30;0.20;0.0;7.70;3.20;3.00;Verduras, hortalicas e derivados
22;Chuchu cozido;19.00;0.40;0.0;0.0;4.80;1.00;2.00;Verduras, hortalicas e derivados
23;Chuchu cru;17.00;0.70;0.10;0.0;4.10;1.30;0.0;Verduras, hortalicas e derivados
24;Couve-flor crua;23.00;1.90;0.20;0.0;4.50;2.40;3.00;Verduras, hortalicas e derivados
25;Couve-flor cozida;19.00;1.20;0.30;0.0;3.90;2.10;2.00;Verduras, hortalicas e derivados
26;Espinafre Nova Zelandia cru;16.00;2.00;0.20;0.0;2.60;2.10;17.00;Verduras, hortalicas e derivados
27;Farinha de mandioca torrada;365.00;1.20;0.30;0.0;89.20;6.50;10.00;Verduras, hortalicas e derivados
28;Mandioca cozida;125.00;0.60;0.30;0.0;30.10;1.60;1.00;Verduras, hortalicas e derivados
29;Pimentao verde cru;21.00;1.10;0.20;0.0;4.90;2.60;0.0;Verduras, hortalicas e derivados
30;Tomate com semente cru;15.00;1.10;0.20;0.0;3.10;1.20;1.00;Verduras, hortalicas e derivados
31;Tomate extrato;61.00;2.40;0.20;0.0;15.00;2.80;498.00;Verduras, hortalicas e derivados
32;Tomate molho industrializado;38.00;1.40;0.90;0.0;7.70;3.10;418.00;Verduras, hortalicas e derivados
33;Abacate cru;96.00;1.20;8.40;0.0;6.00;6.30;0.0;Verduras, hortalicas e derivados
34;Abacaxi cru;48.00;0.90;0.10;0.0;12.30;1.00;0.0;Verduras, hortalicas e derivados
35;Acerola crua;33.00;0.90;0.20;0.0;8.00;1.50;0.0;Verduras, hortalicas e derivados
36;Banana pacovan crua;78.00;1.20;0.10;0.0;20.30;2.00;1.00;Verduras, hortalicas e derivados
37;Banana prata crua;98.00;1.30;0.10;0.0;26.00;2.00;0.0;Verduras, hortalicas e derivados
38;Caju cru;43.00;1.00;0.30;0.0;10.30;1.70;3.00;Verduras, hortalicas e derivados
39;Laranja pera crua;37.00;1.00;0.10;0.0;8.90;0.80;0.0;Verduras, hortalicas e derivados
40;Laranja pera suco;33.00;0.70;0.10;0.0;7.60;0.0;0.0;Verduras, hortalicas e derivados
41;Limao tahiti cru;32.00;0.90;0.10;0.0;11.10;1.20;1.00;Verduras, hortalicas e derivados
42;Maca Argentina com casca crua;63.00;0.20;0.20;0.0;16.60;2.00;1.00;Verduras, hortalicas e derivados
43;Maca Fuji com casca crua;56.00;0.30;0.0;0.0;15.20;1.30;0.0;Verduras, hortalicas e derivados
44;Mamao Formosa cru;45.00;0.80;0.10;0.0;11.60;1.80;3.00;Verduras, hortalicas e derivados
