N;alimento;kcal;proteina;lipideos;colesterol;carboidrato;fibras;sodio;categoria
1;ARROZ INTEGRAL COZIDO;124.00;2.60;1.00;0.0;25.80;2.70;1.00;Cereais e derivados
2;ARROZ INTEGRAL CRU;360.00;7.30;1.90;0.0;77.50;4.80;2.00;Cereais e derivados
3;ARROZ TIPO 1 COZIDO;128.00;2.50;0.20;0.0;28.10;1.60;1.00;Cereais e derivados
4;ARROZ TIPO 1 CRU;358.00;7.20;0.30;0.0;78.80;1.60;1.00;Cereais e derivados
5;ARROZ TIPO 2 COZIDO;130.00;2.60;0.40;0.0;28.20;1.10;2.00;Cereais e derivados
6;ARROZ TIPO 2 CRU;358.00;7.20;0.30;0.0;78.90;1.70;1.00;Cereais e derivados
7;AVEIA FLOCOS CRUA;394.00;13.90;8.50;0.0;66.60;9.10;5.00;Cereais e derivados
8;MACARRAO TRIGO CRU;371.00;10.00;1.30;0.0;77.90;2.90;7.00;Cereais e derivados
9;MILHO FUBA CRU;353.00;7.20;1.90;0.0;78.90;4.70;0.0;Cereais e derivados
10;PAO TRIGO FRANCES;300.00;8.00;3.10;0.0;58.60;2.30;648.00;Cereais e derivados
11;ALFACE AMERICANA CRUA;9.00;0.60;0.10;0.0;1.70;1.00;7.00;Verduras, hortalicas e derivados
12;BATATA DOCE COZIDA;77.00;0.60;0.10;0.0;18.40;2.20;3.00;Verduras, hortalicas e derivados
13;BATATA DOCE CRUA;118.00;1.30;0.10;0.0;28.20;2.60;9.00;Verduras, hortalicas e derivados
14;BATATA INGLESA COZIDA;52.00;1.20;0.0;0.0;11.90;1.30;2.00;Verduras, hortalicas e derivados
15;BATATA INGLESA CRUA;64.00;1.80;0.0;0.0;14.70;1.20;0.0;Verduras, hortalicas e derivados
16;BROCOLIS COZIDO;25.00;2.10;0.50;0.0;4.40;3.40;2.00;Verduras, hortalicas e derivados
17;CARA COZIDO;78.00;1.50;0.10;0.0;18.90;2.60;1.00;Verduras, hortalicas e derivados
18;CEBOLA CRUA;39.00;1.70;0.10;0.0;8.90;2.20;1.00;Verduras, hortalicas e derivados
19;CEBOLINHA CRUA;20.00;1.90;0.40;0.0;3.40;3.60;2.00;Verduras, hortalicas e derivados
20;CENOURA COZIDA;30.00;0.80;0.20;0.0;6.70;2.60;8.00;Verduras, hortalicas e derivados
21;CENOURA CRUA;34.00;1.30;0.20;0.0;7.70;3.20;3.00;Verduras, hortalicas e derivados
22;CHUCHU COZIDO;19.00;0.40;0.0;0.0;4.80;1.00;2.00;Verduras, hortalicas e derivados
23;CHUCHU CRU;17.00;0.70;0.10;0.0;4.10;1.30;0.0;Verduras, hortalicas e derivados
24;COUVE-FLOR CRUA;23.00;1.90;0.20;0.0;4.50;2.40;3.00;Verduras, hortalicas e derivados
25;COUVE-FLOR COZIDA;19.00;1.20;0.30;0.0;3.90;2.10;2.00;Verduras, hortalicas e derivados
26;ESPINAFRE NOVA ZELANDIA CRU;16.00;2.00;0.20;0.0;2.60;2.10;17.00;Verduras, hortalicas e derivados
27;FARINHA DE MANDIOCA TORRADA;365.00;1.20;0.30;0.0;89.20;6.50;10.00;Verduras, hortalicas e derivados
28;MANDIOCA COZIDA;125.00;0.60;0.30;0.0;30.10;1.60;1.00;Verduras, hortalicas e derivados
29;PIMENTAO VERDE CRU;21.00;1.10;0.20;0.0;4.90;2.60;0.0;Verduras, hortalicas e derivados
30;TOMATE COM SEMENTE CRU;15.00;1.10;0.20;0.0;3.10;1.20;1.00;Verduras, hortalicas e derivados
31;TOMATE EXTRATO;61.00;2.40;0.20;0.0;15.00;2.80;498.00;Verduras, hortalicas e derivados
32;TOMATE MOLHO INDUSTRIALIZADO;38.00;1.40;0.90;0.0;7.70;3.10;418.00;Verduras, hortalicas e derivados
33;ABACATE CRU;96.00;1.20;8.40;0.0;6.00;6.30;0.0;Verduras, hortalicas e derivados
34;ABACAXI CRU;48.00;0.90;0.10;0.0;12.30;1.00;0.0;Verduras, hortalicas e derivados
35;ACEROLA CRUA;33.00;0.90;0.20;0.0;8.00;1.50;0.0;Verduras, hortalicas e derivados
36;BANANA PACOVAN CRUA;78.00;1.20;0.10;0.0;20.30;2.00;1.00;Verduras, hortalicas e derivados
37;BANANA PRATA CRUA;98.00;1.30;0.10;0.0;26.00;2.00;0.0;Verduras, hortalicas e derivados
38;CAJU CRU;43.00;1.00;0.30;0.0;10.30;1.70;3.00;Verduras, hortalicas e derivados
39;LARANJA PERA CRUA;37.00;1.00;0.10;0.0;8.90;0.80;0.0;Verduras, hortalicas e derivados
40;LARANJA PERA SUCO;33.00;0.70;0.10;0.0;7.60;0.0;0.0;Verduras, hortalicas e derivados
41;LIMAO TAHITI CRU;32.00;0.90;0.10;0.0;11.10;1.20;1.00;Verduras, hortalicas e derivados
42;MACA ARGENTINA COM CASCA CRUA;63.00;0.20;0.20;0.0;16.60;2.00;1.00;Verduras, hortalicas e derivados
